,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1124,0,0,0,0.82
1,651,412,0,61,0.82
2,566,494,58,0,0.4710734532003236
3,602,399,90,26,0.42501100226519795
4,604,396,115,2,0.455719384209523
5,620,324,140,31,0.4616559358520197
6,620,322,172,1,0.47794117283145165
7,644,249,189,32,0.48377747176383595
8,628,267,215,2,0.5040083924584638
9,638,207,231,36,0.4981945744245866
10,633,213,265,1,0.5081237951500746
11,637,156,291,28,0.5108145624924588
12,638,159,312,3,0.5183640260595485
13,640,104,337,29,0.5228969268226724
14,644,108,356,2,0.5295422002876453
15,631,70,374,33,0.5358289778392358
16,637,65,402,2,0.5306383492134185
17,638,36,401,30,0.5406428853978125
18,634,44,416,8,0.5415064686758179
19,628,25,432,17,0.5424423623522445
20,629,21,445,7,0.5411353609863735
21,626,11,451,14,0.5442095741967649
22,625,15,457,5,0.5431953902714906
23,636,9,451,6,0.5435876374696461
24,640,7,438,16,0.5502373408285595
25,636,14,436,15,0.5510373603390178
26,631,17,440,13,0.5478431650953031
27,649,12,429,11,0.5450448693267913
28,639,21,423,17,0.5557858176065033
29,639,21,428,12,0.5479368265311887
30,629,18,436,16,0.5488487482393737
31,640,16,436,7,0.5435857945936952
32,638,10,430,20,0.5513601815074122
33,639,16,428,15,0.5491923409658791
34,632,17,429,20,0.5495363380910421
35,640,13,434,10,0.5447658105794492
36,640,14,431,11,0.5516846252724736
37,645,14,423,14,0.5514826900780043
38,648,17,416,15,0.5535797143406616
39,647,20,411,18,0.5544416620489399
40,647,25,408,15,0.5528164431187045
41,648,24,404,19,0.5526178186325698
42,648,19,410,18,0.552601998043627
43,647,25,412,11,0.553696304093449
44,654,21,405,15,0.5533473559991178
45,656,22,401,15,0.557075565411023
46,647,29,405,13,0.5581326188153427
47,653,25,404,12,0.5524196137019899
48,654,26,401,12,0.5565284123861121
49,652,28,400,13,0.5570502996196565
50,647,31,405,9,0.55543410633629
51,660,26,394,12,0.5531187736702055
52,653,25,393,20,0.560440820371396
53,652,26,398,15,0.5555792380324247
54,654,19,404,14,0.5557736092281975
55,659,18,402,11,0.5583034487227685
56,654,19,398,18,0.5618909624632086
57,664,18,398,9,0.5579168736172669
58,647,31,398,13,0.5651296025235284
59,650,23,404,12,0.5528940019065088
60,648,25,401,15,0.5561383779114715
61,651,20,404,14,0.5541574159448309
62,649,18,406,16,0.5568559284238837
63,648,18,410,12,0.5557860272076689
64,646,17,410,15,0.556150795890943
65,653,17,406,11,0.5547178453228789
66,648,23,401,15,0.5593656989594225
67,657,19,397,12,0.5548616875200124
68,645,26,398,16,0.5613196658854895
69,642,21,404,18,0.5528678777414766
70,647,13,413,12,0.5518133994616651
71,654,15,406,10,0.5570383127655207
72,658,17,394,16,0.5607966564133864
73,649,19,398,19,0.5614948915235008
74,643,18,408,16,0.5557389472217769
75,654,14,401,15,0.5532587705897828
76,651,23,397,13,0.5602410122715326
77,646,23,402,13,0.5573496594244375
78,643,21,409,11,0.5546673163242395
79,646,16,403,19,0.5537926472615567
80,646,14,411,13,0.5548497006658766
81,650,15,407,11,0.5563087753989726
82,656,13,396,17,0.5588087341575335
83,648,23,401,9,0.5614881795746745
84,654,20,393,14,0.5569848907411634
85,644,24,399,14,0.5598534324487676
86,645,19,406,11,0.5537438401818433
87,648,17,407,9,0.5557389472217769
88,646,17,403,15,0.5580791967909855
89,648,16,402,14,0.5559106458592599
90,651,20,396,13,0.5575226709052038
91,648,22,395,15,0.5585915049101605
92,650,23,396,10,0.5562459805137446
93,655,21,388,14,0.5582267362268865
94,652,23,391,12,0.5607411999961313
95,654,25,387,10,0.5591171831333933
96,651,28,378,19,0.5605539038346146
97,652,30,381,13,0.5567399228082259
98,657,21,381,16,0.5580107986917501
99,656,23,386,9,0.5619978775628347
100,647,20,390,17,0.5625450305877457
101,646,20,398,10,0.5567528986409386
102,649,19,393,13,0.5574895947111124
103,646,21,399,8,0.558746150566233
104,645,22,392,14,0.5576719790527492
105,654,15,386,17,0.5560305199780162
106,645,19,394,14,0.5618154932211976
107,642,14,405,11,0.5567528986409386
108,648,12,399,13,0.5565933254387923
109,654,14,393,11,0.5598346421081202
110,653,17,386,14,0.5630921836126568
111,643,21,389,16,0.5618128611107105
112,652,15,388,14,0.5554694963006531
113,649,24,383,13,0.5618128611107105
114,659,24,375,10,0.5587215980326631
115,653,26,370,19,0.5649090044303988
116,649,17,380,20,0.5596203657644256
117,647,20,389,10,0.5592594803277923
