,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1148,0,0,0,0.82
1,695,389,0,64,0.82
2,504,579,63,1,0.49198067652638494
3,548,472,94,32,0.37590764489499784
4,535,487,121,1,0.4102057194242291
5,581,382,150,28,0.4071486566146323
6,563,406,172,0,0.4434189415312955
7,581,329,193,38,0.4354560516575434
8,580,335,226,0,0.451097512959867
9,598,265,240,35,0.4563272878087129
10,589,280,268,1,0.47174343166496957
11,613,204,276,43,0.4707324130229371
12,616,207,309,1,0.48888144734117517
13,635,138,324,36,0.4977572380810758
14,635,149,346,1,0.5133553592884709
15,633,98,363,37,0.5179369379980994
16,643,97,389,0,0.5196053592884708
17,658,35,404,30,0.5317593393524018
18,670,43,411,2,0.5454677365312962
19,681,9,417,18,0.5554168765244517
20,689,7,422,7,0.5645513666766664
21,695,6,414,10,0.5710910553741828
22,699,6,411,9,0.5739155678736606
23,710,3,400,12,0.5762239430574791
24,705,3,395,21,0.582117504241326
25,701,12,398,12,0.5780038309560211
26,714,6,384,18,0.5760393705060034
27,716,1,392,13,0.5832179003028968
28,711,6,390,15,0.5860874675511136
29,729,2,379,12,0.5821313040371183
30,712,17,377,16,0.5931783186633037
31,716,12,372,21,0.580528756190802
32,720,13,374,14,0.5828800914761788
33,741,6,364,10,0.5861266937773276
34,754,7,343,14,0.5996361678745695
35,761,7,336,13,0.6066144452985407
36,749,14,331,21,0.6109561464058184
37,744,28,330,13,0.6019180995294395
38,724,36,331,23,0.5980433043719663
39,707,52,343,12,0.5839332605929
40,706,44,338,26,0.5737595947095904
41,702,44,351,16,0.5721464717314683
42,714,23,357,19,0.5719527326085468
43,730,15,349,18,0.581681390150997
44,731,15,349,16,0.5922773686606513
45,729,21,338,22,0.5933861678745697
46,712,26,351,21,0.5903315208025953
47,692,26,375,17,0.5802630199428894
48,689,24,379,16,0.5701476435129453
49,685,15,388,20,0.5694324023845925
50,697,12,385,13,0.5681830624588836
51,683,17,388,18,0.5766001847622306
52,693,7,390,14,0.567468776744598
53,691,13,386,13,0.5757027326085468
54,699,4,388,12,0.5739128825647811
55,717,4,378,4,0.5800303248459739
56,729,3,364,7,0.5913156866655389
57,739,3,351,10,0.5976173636475214
58,744,1,340,18,0.6026858738699692
59,757,1,331,12,0.6044357354036566
60,757,5,325,14,0.6133348991278151
61,726,23,319,33,0.6122634705563866
62,714,35,338,14,0.5881311521208318
63,704,29,340,27,0.582728277796209
64,715,23,341,21,0.5761777058901644
65,710,20,351,19,0.5843678704645383
66,717,16,349,17,0.5825046891643287
67,730,5,348,15,0.5876345115177942
68,736,9,336,16,0.5974023696339203
69,742,10,328,15,0.6000913863552149
70,738,10,323,21,0.6039098160516589
71,745,17,317,13,0.6011985467110491
72,732,18,321,21,0.6053670269851955
73,742,10,319,19,0.5963704452073988
74,744,4,319,21,0.6042597467244673
75,720,22,325,20,0.606549184842101
76,725,12,332,17,0.590106408108476
77,731,11,332,12,0.5954485292123576
78,729,10,329,17,0.599916371413577
79,737,8,324,15,0.5982775749772469
80,737,9,327,11,0.6037598841280527
81,724,11,323,24,0.604295598413767
82,712,17,331,21,0.5946444007558795
83,716,4,343,18,0.5875559830726569
84,714,10,347,10,0.5926588734925043
85,728,5,343,5,0.5918921223941903
86,731,5,323,21,0.6015883874802304
87,724,12,327,14,0.6006529941784725
88,725,8,330,14,0.597302673194516
89,742,7,317,10,0.5985858946047524
90,752,4,307,13,0.6094528919778761
91,749,12,295,20,0.6152674649382378
92,747,14,296,19,0.6108388496418249
93,739,18,299,19,0.6094962869117645
94,751,8,301,14,0.6043678709472946
95,726,16,305,27,0.6142447533772046
96,719,19,320,15,0.5960454610101816
97,717,14,327,15,0.5938771181396206
98,722,6,325,19,0.5936347178343898
99,713,8,328,22,0.5974039113890943
100,717,5,338,11,0.5916086864701653
101,718,6,333,13,0.5963771181396205
102,708,9,332,21,0.5966216088904666
103,712,15,330,13,0.5889914150244345
104,722,3,330,14,0.5916086864701653
105,716,6,327,20,0.5994741698423384
106,709,0,334,26,0.5944455303373732
107,730,1,327,9,0.5904775880645416
108,736,7,308,16,0.6057547365104904
109,727,11,317,12,0.6069058839245246
110,725,8,318,15,0.6017042586841047
111,721,10,319,16,0.6007718343080326
112,709,19,317,21,0.5979403166949364
113,712,12,327,13,0.5886035850648831
114,730,0,320,11,0.5934073231761811
115,727,2,313,19,0.6069058839245247
116,718,8,315,19,0.6033814634064475
117,717,6,324,12,0.5973399429192575
118,727,3,311,18,0.5985899429192575
119,728,8,306,17,0.603825776874949
120,732,6,306,14,0.6036915982102391
121,728,10,304,16,0.607135941997289
122,729,4,311,14,0.6037365299650763
123,738,7,304,9,0.6057462869117645
124,743,3,295,16,0.6113584445727638
125,742,9,290,15,0.6139933496013846
126,725,10,296,23,0.6127433496013847
127,723,17,293,19,0.6016391440546215
128,736,6,295,13,0.6003891440546216
129,740,5,293,12,0.6114933496013847
130,736,6,296,12,0.614213207996813
131,738,2,294,14,0.611671921029956
132,727,15,291,15,0.6136774937110987
133,715,9,301,23,0.60470095720357
134,713,11,304,16,0.597353351164761
135,712,11,306,15,0.5979773124959532
136,718,7,306,13,0.5975757768749489
