,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1112,0,0,0,0.82
1,961,103,0,48,0.82
2,691,343,59,19,0.7202471202035533
3,598,390,101,21,0.5157895238338949
4,605,355,131,19,0.4580022843576005
5,624,296,169,20,0.4684041866547517
6,625,272,196,14,0.48905550111679175
7,625,229,226,26,0.4954105400623466
8,635,199,253,18,0.5012781449882744
9,638,159,276,29,0.5136754327022891
10,649,127,306,19,0.5210776861659474
11,680,63,334,21,0.5348197460030676
12,711,19,359,9,0.5635198268017748
13,731,2,362,3,0.5910630778816612
14,748,1,345,4,0.6066671894116726
15,772,0,325,1,0.6164928273682898
16,785,1,309,3,0.631373157243512
17,797,0,301,0,0.638617435949717
18,806,0,292,0,0.6466389883251037
19,825,1,266,6,0.6521568332003551
20,833,0,261,3,0.6626679532601535
21,852,0,244,1,0.6686977181897505
22,877,0,220,0,0.681158905643947
23,892,1,201,3,0.6975107325254188
24,894,2,199,2,0.7065781687338375
25,912,0,183,2,0.7078893269515449
26,924,0,167,6,0.7200735861278692
27,934,0,162,1,0.7271982739956138
28,956,0,140,1,0.7346342606919738
29,968,3,123,3,0.7487122430100249
30,979,0,115,3,0.7552255703433519
31,994,0,103,0,0.7623690852195423
32,1003,0,93,1,0.7714531462878513
33,1016,1,76,3,0.7760791858507347
34,1031,1,64,0,0.7821072637101769
35,1034,0,59,3,0.789353773391317
36,1044,0,52,0,0.7902360471933073
37,1056,1,38,1,0.7947855693828357
38,1063,0,32,1,0.79896685031015
39,1063,1,28,4,0.8017466514980008
40,1065,1,28,2,0.8010092414260583
41,1065,0,29,2,0.8021165997265748
42,1063,2,25,6,0.8023009522445604
43,1060,0,29,7,0.8004561838721015
44,1059,0,34,3,0.7995307305091233
45,1058,0,35,2,0.7998974992903136
46,1058,0,36,1,0.799713146772328
47,1055,0,37,3,0.7998974992903136
48,1059,0,36,0,0.7984137927561932
49,1060,0,34,1,0.8004524930990512
50,1063,0,31,1,0.8006383882059486
51,1060,0,31,4,0.8017473635005462
52,1061,1,32,1,0.8000853306519917
53,1060,1,31,3,0.8008239522043055
54,1058,0,33,4,0.8000853306519917
55,1056,1,37,1,0.7993444417363568
56,1056,0,39,0,0.7989704026981864
57,1057,0,36,2,0.7993391077341575
58,1055,2,35,3,0.7993420431613996
59,1055,0,38,2,0.7980450877202219
60,1055,0,37,3,0.7985981452741787
61,1056,0,38,0,0.7984137927561932
62,1055,0,38,1,0.7993420431613997
63,1059,0,34,1,0.7987860501802008
64,1054,1,32,7,0.8002696831699774
65,1061,0,32,0,0.7971233251302938
66,1055,1,30,7,0.8011943059465892
67,1055,0,33,3,0.7974985179815435
68,1056,0,33,2,0.7984246154012096
69,1057,0,33,1,0.7989792155440781
70,1055,1,33,2,0.7995334845784062
71,1056,0,34,1,0.7984246154012096
72,1059,0,30,2,0.7991635680620637
73,1052,5,30,4,0.8000881908386756
74,1044,0,36,10,0.7962051149284023
75,1043,0,46,1,0.7930282162105803
76,1046,0,44,0,0.7943081928295642
77,1043,0,43,4,0.7956263510325017
78,1046,0,44,0,0.7937551352756074
79,1047,1,41,1,0.7956263510325017
80,1044,1,40,5,0.7956332695907318
81,1038,0,44,8,0.7937656262825226
82,1039,0,47,3,0.7910985190231236
83,1041,0,47,1,0.7924243385177551
84,1042,0,45,2,0.7935588880799657
85,1043,1,43,2,0.7937551352756074
86,1045,0,42,2,0.7939499788005083
87,1048,0,41,0,0.7948889409605593
88,1048,0,39,2,0.7963816603982402
89,1051,0,38,0,0.796012955362269
90,1049,0,38,2,0.7974985179815435
91,1048,0,40,1,0.7963859150583514
92,1046,0,41,2,0.7961973078802547
93,1051,0,37,1,0.7952645645547605
94,1051,2,34,2,0.7973141654635579
95,1050,1,35,3,0.7967611079096011
96,1053,0,35,1,0.7963894674463878
97,1053,0,33,3,0.7980559103652383
98,1056,0,32,1,0.7976872053292671
99,1056,0,31,2,0.7991657162462021
100,1053,2,30,4,0.7989813637282166
101,1049,0,31,9,0.7971341477753103
102,1047,0,40,2,0.7950954474324522
103,1049,0,39,1,0.7956392033150298
104,1053,0,36,0,0.796570267576337
105,1050,0,35,4,0.7982402628832239
106,1050,0,38,1,0.7963894674463878
107,1050,1,37,1,0.7969425250003446
108,1046,3,37,3,0.796758172482359
109,1045,1,41,2,0.7945271544828181
110,1047,1,40,1,0.7947045884425736
111,1045,0,41,3,0.7956392033150298
112,1043,2,41,3,0.7947045884425736
113,1041,0,42,5,0.793581273764537
114,1037,0,45,6,0.7928333726856792
115,1035,0,51,2,0.7911171136940065
116,1037,0,50,1,0.79107798008357
117,1039,0,48,1,0.7920388762839345
118,1041,0,43,4,0.7928080712289773
119,1037,1,45,5,0.7930177252036649
120,1037,0,48,3,0.7911171136940065
121,1023,5,50,10,0.7916701712479634
122,1021,1,59,4,0.7838231978517486
123,1024,1,59,1,0.7849805856235387
124,1025,1,59,0,0.7867758077667285
125,1025,0,57,3,0.7873685327104223
126,1029,0,55,1,0.786999827674451
127,1025,4,51,5,0.7889757784797236
128,1023,0,57,5,0.7858937125665374
129,1028,0,57,0,0.7858115867616526
