,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1118,0,0,0,0.82,Barabasi,4
1,1072,20,0,26,0.82,Barabasi,4
2,983,79,28,26,0.7946420066519956,Barabasi,4
3,663,353,66,33,0.7398634750104447,Barabasi,4
4,558,432,110,15,0.49520799145318134,Barabasi,4
5,573,373,143,25,0.4302971927066519,Barabasi,4
6,575,344,180,14,0.44686001558103355,Barabasi,4
7,593,283,216,20,0.45532627430043,Barabasi,4
8,597,256,244,15,0.47460209270990633,Barabasi,4
9,608,205,275,23,0.48249706899663797,Barabasi,4
10,617,174,303,15,0.4961300247157038,Barabasi,4
11,632,127,327,18,0.5081979660724778,Barabasi,4
12,645,103,339,17,0.5248202595113872,Barabasi,4
13,661,52,369,22,0.5362397080381366,Barabasi,4
14,693,16,390,4,0.5531818808951307,Barabasi,4
15,718,4,377,4,0.5806150788427648,Barabasi,4
16,731,1,370,1,0.5967138063771448,Barabasi,4
17,751,0,352,0,0.6051643769408473,Barabasi,4
18,761,1,339,2,0.6170120997607251,Barabasi,4
19,781,1,320,1,0.6222834927092564,Barabasi,4
20,790,3,307,3,0.6342767034792863,Barabasi,4
21,808,1,293,1,0.6389315400629404,Barabasi,4
22,828,0,274,1,0.6505806558194206,Barabasi,4
23,845,0,258,0,0.6631091032941585,Barabasi,4
24,868,1,230,4,0.6739596400933069,Barabasi,4
25,876,1,223,3,0.6877079680948524,Barabasi,4
26,892,0,209,2,0.693047182554285,Barabasi,4
27,904,0,198,1,0.7037921411263031,Barabasi,4
28,916,0,187,0,0.7117996216656046,Barabasi,4
29,932,0,166,5,0.7198195160624782,Barabasi,4
30,949,0,152,2,0.7293241223823793,Barabasi,4
31,968,1,133,1,0.7408257687227746,Barabasi,4
32,980,0,120,2,0.7527548396579709,Barabasi,4
33,996,2,102,2,0.7602417351555008,Barabasi,4
34,1010,2,89,1,0.7690421198728017,Barabasi,4
35,1022,0,78,2,0.7766641302534333,Barabasi,4
36,1032,0,68,2,0.7827125052640226,Barabasi,4
37,1044,0,58,0,0.7872204877060732,Barabasi,4
38,1050,1,50,1,0.7925741016475482,Barabasi,4
39,1057,0,45,0,0.7945588795755981,Barabasi,4
40,1059,0,39,4,0.7975846572732254,Barabasi,4
41,1066,1,34,1,0.7975989841330995,Barabasi,4
42,1065,0,34,3,0.8005577018236333,Barabasi,4
43,1071,0,31,0,0.8000057706415453,Barabasi,4
44,1070,2,28,2,0.8027627338928429,Barabasi,4
45,1070,1,30,1,0.8016620540235538,Barabasi,4
46,1069,1,31,1,0.8020287803205127,Barabasi,4
47,1072,0,30,0,0.801661381236383,Barabasi,4
48,1072,0,28,2,0.8031298256184038,Barabasi,4
49,1071,1,27,2,0.8027630993214449,Barabasi,4
50,1072,1,26,2,0.8022130098760067,Barabasi,4
51,1070,2,28,1,0.8025799967423218,Barabasi,4
52,1070,0,30,1,0.8018459181504457,Barabasi,4
53,1071,0,29,1,0.8022126444474047,Barabasi,4
54,1060,6,27,8,0.8025797361729655,Barabasi,4
55,1040,13,35,13,0.7961425982964837,Barabasi,4
56,1038,1,54,8,0.7862319677071645,Barabasi,4
57,1037,0,63,1,0.7885302956219225,Barabasi,4
58,1041,0,59,0,0.7895834882007665,Barabasi,4
59,1041,0,59,0,0.791440592339672,Barabasi,4
60,1044,0,56,0,0.791440592339672,Barabasi,4
61,1047,0,50,3,0.7926334058716754,Barabasi,4
62,1045,1,52,2,0.793255474898532,Barabasi,4
63,1050,0,49,1,0.7924762022219165,Barabasi,4
64,1046,0,49,5,0.7947763928061683,Barabasi,4
65,1049,0,51,0,0.7925001621131533,Barabasi,4
66,1053,1,45,1,0.7945768486648314,Barabasi,4
67,1050,1,44,5,0.7957320896351321,Barabasi,4
68,1048,0,49,2,0.7938595770637711,Barabasi,4
69,1048,1,50,0,0.7938433960709137,Barabasi,4
70,1049,0,49,1,0.794026759219393,Barabasi,4
71,1046,2,47,4,0.7944096665092094,Barabasi,4
72,1046,1,49,3,0.7923386591561349,Barabasi,4
73,1046,0,50,3,0.7927053854530938,Barabasi,4
74,1048,0,50,1,0.7928887486015732,Barabasi,4
75,1052,0,44,2,0.794026759219393,Barabasi,4
76,1046,2,44,6,0.7953754592459132,Barabasi,4
77,1050,0,48,0,0.7919917954968861,Barabasi,4
78,1040,1,47,10,0.7949871799978485,Barabasi,4
79,1042,0,56,0,0.7890902018264391,Barabasi,4
80,1045,0,52,1,0.7918999532777576,Barabasi,4
81,1051,1,45,1,0.7928887486015732,Barabasi,4
82,1051,0,46,1,0.7949986370412143,Barabasi,4
83,1055,0,43,0,0.7951820001896938,Barabasi,4
84,1050,0,40,8,0.7968655315391817,Barabasi,4
85,1049,0,46,3,0.7935202748100131,Barabasi,4
86,1052,0,45,1,0.7940574395633072,Barabasi,4
87,1053,1,44,0,0.7955588223943926,Barabasi,4
88,1052,0,44,2,0.7959343889369106,Barabasi,4
89,1054,0,43,1,0.7953754592459132,Barabasi,4
90,1055,0,42,1,0.7963088036953746,Barabasi,4
91,1057,0,40,1,0.7966821683907024,Barabasi,4
92,1054,1,40,3,0.7974261403358398,Barabasi,4
93,1057,0,41,0,0.7957587142499363,Barabasi,4
94,1057,0,39,2,0.7976095034843191,Barabasi,4
95,1061,0,37,0,0.7972427771873603,Barabasi,4
96,1039,15,32,12,0.7990889548991482,Barabasi,4
97,970,62,45,21,0.7857563347368097,Barabasi,4
98,710,279,70,38,0.7403360787371256,Barabasi,4
99,575,390,113,15,0.5367310398988157,Barabasi,4
100,584,338,148,21,0.4494375833763391,Barabasi,4
101,583,316,174,16,0.46273100025014785,Barabasi,4
102,595,263,207,22,0.467458806938303,Barabasi,4
103,603,236,239,9,0.4825271252853579,Barabasi,4
104,608,195,259,25,0.493998696025589,Barabasi,4
105,612,174,288,12,0.5011806149282951,Barabasi,4
106,629,133,303,19,0.5096556301472525,Barabasi,4
107,640,102,325,16,0.5251544586512668,Barabasi,4
108,665,45,345,27,0.5374126501258999,Barabasi,4
109,690,19,363,8,0.5595410689855499,Barabasi,4
110,711,5,358,5,0.5819909711995197,Barabasi,4
111,728,0,350,1,0.597175274029937,Barabasi,4
112,749,0,330,0,0.6086069902495485,Barabasi,4
113,760,0,318,1,0.6210910666126722,Barabasi,4
114,768,0,309,2,0.6274495987284431,Barabasi,4
115,780,0,298,1,0.6320672440527378,Barabasi,4
116,799,0,279,1,0.6395208401684361,Barabasi,4
117,810,0,268,1,0.6512002837961176,Barabasi,4
118,817,0,261,1,0.6580547722001193,Barabasi,4
119,834,0,245,0,0.6624510443365685,Barabasi,4
120,848,0,229,2,0.6734165081085538,Barabasi,4
121,874,0,205,0,0.6820313941578083,Barabasi,4
122,886,1,190,2,0.699266539790994,Barabasi,4
123,902,0,174,3,0.706549674115232,Barabasi,4
124,918,0,160,1,0.7169890955399433,Barabasi,4
125,928,0,147,4,0.7277208039792258,Barabasi,4
126,939,1,139,0,0.7335680370955078,Barabasi,4
127,957,1,120,1,0.7410413001394234,Barabasi,4
128,972,0,106,1,0.751807030325447,Barabasi,4
129,991,0,87,1,0.7606037900353904,Barabasi,4
130,1002,0,76,1,0.770605975304625,Barabasi,4
131,1014,1,64,0,0.7758495564260217,Barabasi,4
132,1026,0,52,1,0.7810988448077096,Barabasi,4
133,1035,0,43,1,0.7859209489593548,Barabasi,4
134,1038,0,38,3,0.7893410040531563,Barabasi,4
135,1040,0,39,0,0.7900916143966625,Barabasi,4
136,1048,0,31,0,0.7913826179206516,Barabasi,4
137,1051,1,26,1,0.7943280290627892,Barabasi,4
138,1054,0,23,2,0.7950622888524126,Barabasi,4
139,1054,0,22,3,0.7961627215768429,Barabasi,4
140,1053,1,23,2,0.7959793584283633,Barabasi,4
141,1050,0,23,6,0.7956125812144368,Barabasi,4
142,1046,3,28,2,0.7939619287637888,Barabasi,4
