,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1153,0,0,0,0.82,None,0
1,1121,13,0,19,0.82,None,0
2,1044,67,19,21,0.8029303536790817,None,0
3,842,237,45,26,0.7605257488923013,None,0
4,664,379,82,25,0.6063994882453628,None,0
5,657,357,116,16,0.4840440560237343,None,0
6,657,323,149,17,0.4866121273098013,None,0
7,658,294,176,17,0.49247942999843963,None,0
8,657,261,202,24,0.49829375756545397,None,0
9,667,229,229,17,0.5025608867935545,None,0
10,670,198,250,22,0.5148977799510849,None,0
11,672,173,271,22,0.521372881539916,None,0
12,685,129,305,18,0.5271644230106537,None,0
13,695,94,325,18,0.5425951811377423,None,0
14,725,42,354,10,0.5548989836030302,None,0
15,754,2,371,4,0.5817611411312111,None,0
16,769,1,361,0,0.6058243928990767,None,0
17,783,0,347,1,0.6150917455422398,None,0
18,801,0,328,2,0.6230154257393686,None,0
19,813,0,316,2,0.6331764253599185,None,0
20,827,0,304,0,0.6401650998717057,None,0
21,841,0,288,2,0.6487721601226921,None,0
22,856,0,274,1,0.6567732168135154,None,0
23,867,0,262,2,0.6660190814601441,None,0
24,882,0,249,0,0.6725637472166601,None,0
25,899,0,232,0,0.6821788291618555,None,0
26,914,1,216,0,0.6927872239548434,None,0
27,912,2,208,9,0.7020497421519694,None,0
28,933,0,196,0,0.6990096735718203,None,0
29,951,0,178,0,0.7148030258941238,None,0
30,974,0,154,1,0.7261794729397169,None,0
31,983,4,138,4,0.7403476828487636,None,0
32,1001,1,126,0,0.7446001758018999,None,0
33,1015,0,111,2,0.7567365909652463,None,0
34,1027,0,100,1,0.7644144168367183,None,0
35,1034,1,91,2,0.7709403139553486,None,0
36,1051,0,76,0,0.7740961506487101,None,0
37,1060,0,67,0,0.782586685388164,None,0
38,1065,6,52,4,0.7863547863194831,None,0
39,1070,0,55,2,0.7865690947025028,None,0
40,1075,0,51,1,0.7899213487566511,None,0
41,1083,0,44,0,0.7919768840004677,None,0
42,1089,0,38,0,0.7950798878698572,None,0
43,1097,0,30,0,0.7972347011093985,None,0
44,1101,0,24,2,0.8000862131778314,None,0
45,1103,0,23,1,0.8011534359799065,None,0
46,1103,0,24,0,0.8020424743893384,None,0
47,1105,0,22,0,0.8022202714405093,None,0
48,1107,0,19,1,0.8029314772481524,None,0
49,1107,0,19,1,0.8034648731248544,None,0
50,1107,0,19,1,0.8034648731248544,None,0
51,1106,0,20,1,0.8034648731248544,None,0
52,1107,0,20,0,0.8031092774878299,None,0
53,1108,0,19,0,0.8036426701760252,None,0
54,1108,0,18,1,0.8039982649635364,None,0
55,1108,0,18,1,0.8038204679123655,None,0
56,1112,0,15,0,0.8038204679123655,None,0
57,1113,0,14,0,0.8054206418010703,None,0
58,1115,1,11,0,0.805776235905779,None,0
59,1113,1,11,2,0.8063096270598347,None,0
60,1116,0,10,0,0.8052428447522664,None,0
61,1106,7,10,3,0.8068430182133564,None,0
62,1099,2,19,6,0.8015091055619749,None,0
63,1102,0,23,0,0.7993754121186721,None,0
64,1100,0,23,2,0.8018646887368008,None,0
65,1101,0,24,0,0.800797875123197,None,0
66,1104,0,21,0,0.8015090832358258,None,0
67,1104,0,20,1,0.8025758863343172,None,0
68,1104,0,21,0,0.8023980892831464,None,0
69,1077,15,20,13,0.8025758863343172,None,0
70,1048,30,34,13,0.787937640483372,None,0
71,1060,2,63,0,0.7737960148742937,None,0
72,1061,0,64,0,0.7860929800396035,None,0
73,1062,0,63,0,0.7868469639687281,None,0
74,1065,0,60,0,0.7872427084021104,None,0
75,1067,0,57,1,0.7884147823807315,None,0
76,1071,1,53,0,0.78900650710001,None,0
77,1071,0,51,3,0.7905201317765906,None,0
78,1072,0,53,0,0.790164537674249,None,0
79,1072,1,52,0,0.7910715693850124,None,0
80,1064,2,48,11,0.7908937723338416,None,0
81,1070,0,55,0,0.7857151811911407,None,0
82,1070,1,53,1,0.7903224754462836,None,0
83,1072,0,52,1,0.789966881343942,None,0
84,1073,0,50,2,0.7908937723338416,None,0
85,1074,0,51,0,0.7910878987446135,None,0
86,1077,0,48,0,0.7918137959738356,None,0
87,1081,0,44,0,0.7929159579161561,None,0
88,1080,0,44,1,0.7943686996651738,None,0
89,1084,0,41,0,0.7938292345437686,None,0
90,1085,0,39,1,0.79544887972962,None,0
91,1088,0,36,1,0.7956298095921819,None,0
92,1089,0,34,2,0.7967030296605551,None,0
93,1094,0,31,0,0.7968822013760766,None,0
94,1103,0,22,0,0.7990191743727323,None,0
95,1103,0,21,1,0.802220289043469,None,0
96,1104,0,21,0,0.8020424919922982,None,0
97,1106,0,18,1,0.8025758863343172,None,0
98,1108,0,17,0,0.8031092797076821,None,0
99,1109,0,15,1,0.8039982653478026,None,0
100,1110,0,14,1,0.8041760624331085,None,0
101,1113,0,12,0,0.8045316565452161,None,0
102,1111,0,12,2,0.8057762359063221,None,0
103,1112,0,13,0,0.8047094535987538,None,0
104,1112,0,12,1,0.805420641803907,None,0
105,1114,0,10,1,0.8052428447527363,None,0
