,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1111,0,0,0,0.82,Renyi,0
1,886,184,0,41,0.82,Renyi,0
2,581,460,48,19,0.658139397361737,Renyi,0
3,504,497,82,25,0.4371604995564891,Renyi,0
4,583,392,115,14,0.39119498948978604,Renyi,0
5,549,387,144,23,0.4521936649192277,Renyi,0
6,584,330,174,14,0.4345126817231318,Renyi,0
7,578,304,196,23,0.4644199766520178,Renyi,0
8,587,268,227,19,0.4646490278635695,Renyi,0
9,588,236,254,22,0.47660555460014564,Renyi,0
10,605,200,280,13,0.4826081359161221,Renyi,0
11,606,168,299,23,0.49993900516244405,Renyi,0
12,615,140,325,15,0.5048141687033411,Renyi,0
13,634,106,332,21,0.5162914708464017,Renyi,0
14,650,84,343,16,0.5317734837844444,Renyi,0
15,648,60,360,24,0.5452975122963946,Renyi,0
16,674,26,380,10,0.5473437306722699,Renyi,0
17,701,1,384,4,0.5706662622860696,Renyi,0
18,717,0,371,2,0.5913923772733236,Renyi,0
19,728,0,362,0,0.601009402238779,Renyi,0
20,746,0,344,0,0.6076869144867647,Renyi,0
21,767,0,323,0,0.6181506142641129,Renyi,0
22,786,0,303,1,0.6305864013578781,Renyi,0
23,801,1,288,0,0.6418709441978219,Renyi,0
24,816,0,274,0,0.6510732806407619,Renyi,0
25,837,0,253,0,0.6605896873060565,Renyi,0
26,852,0,237,1,0.6738645726010478,Renyi,0
27,870,0,219,1,0.6833013612658057,Renyi,0
28,885,3,202,0,0.6949777495058918,Renyi,0
29,897,1,190,2,0.7044216343384654,Renyi,0
30,916,0,172,2,0.7123027351123545,Renyi,0
31,928,0,159,3,0.7249597336237151,Renyi,0
32,948,0,141,1,0.7325996342329946,Renyi,0
33,960,1,128,1,0.7457831488114063,Renyi,0
34,973,0,116,1,0.7530609100073571,Renyi,0
35,985,0,105,0,0.761042956343584,Renyi,0
36,995,1,91,3,0.7680790158341873,Renyi,0
37,1011,0,79,0,0.7727395219201544,Renyi,0
38,1025,1,64,0,0.7814310696527169,Renyi,0
39,1026,0,59,5,0.7874783997238305,Renyi,0
40,1017,10,57,6,0.7871608611285562,Renyi,0
41,1032,0,55,2,0.78123105158574,Renyi,0
42,1042,0,46,1,0.7902087523664937,Renyi,0
43,1047,0,38,3,0.794284643910787,Renyi,0
44,1048,1,37,2,0.7958066897044328,Renyi,0
45,1050,0,36,1,0.7961800130793143,Renyi,0
46,1052,0,34,1,0.7972960801785876,Renyi,0
47,1048,1,35,3,0.7980376623517055,Renyi,0
48,1038,5,37,7,0.7959990743128813,Renyi,0
49,980,33,43,31,0.7907533353151562,Renyi,0
50,712,264,80,29,0.754047351813412,Renyi,0
51,584,362,117,21,0.5454693482333784,Renyi,0
52,583,327,151,21,0.4597915199800691,Renyi,0
53,604,282,176,19,0.4660266263003102,Renyi,0
54,604,254,205,16,0.4857537585506813,Renyi,0
55,604,228,228,17,0.49178334906837745,Renyi,0
56,611,193,258,15,0.49670738176111534,Renyi,0
57,606,173,281,16,0.5072189449116772,Renyi,0
58,616,133,309,18,0.5082480292767411,Renyi,0
59,641,94,327,13,0.520541062500048,Renyi,0
60,659,59,337,20,0.5422160505193767,Renyi,0
61,681,28,352,13,0.5571964153013711,Renyi,0
62,708,9,348,8,0.5765995502547181,Renyi,0
63,725,1,344,2,0.5965496089820034,Renyi,0
64,742,1,328,1,0.6091980887491153,Renyi,0
65,759,0,311,2,0.6194016528012224,Renyi,0
66,778,1,292,1,0.6295850181584479,Renyi,0
67,793,1,276,2,0.6411641658153334,Renyi,0
68,799,0,267,6,0.6502685993525522,Renyi,0
69,813,0,259,0,0.6534665756376166,Renyi,0
70,823,2,245,2,0.6634049171192253,Renyi,0
71,838,1,232,1,0.6690387760522917,Renyi,0
72,852,1,218,1,0.679057567331957,Renyi,0
73,867,0,204,1,0.68815056678762,Renyi,0
74,879,0,192,1,0.6981480069757291,Renyi,0
75,896,0,175,1,0.7060291077496182,Renyi,0
76,907,1,162,2,0.7171918555180938,Renyi,0
77,922,1,148,1,0.7240075156274398,Renyi,0
78,933,0,137,2,0.7338755321524486,Renyi,0
79,947,1,123,1,0.7408412314646345,Renyi,0
80,942,9,109,12,0.7494574325482662,Renyi,0
81,947,7,109,8,0.7429123951558719,Renyi,0
82,964,0,103,3,0.7472917833933593,Renyi,0
83,968,3,94,5,0.7595884454130449,Renyi,0
84,974,0,90,6,0.7608736209455499,Renyi,0
85,980,0,88,2,0.7644639148680485,Renyi,0
86,989,0,80,1,0.7683075992880058,Renyi,0
87,998,0,71,1,0.7729203181714442,Renyi,0
88,1002,1,64,3,0.7770646740113173,Renyi,0
89,1008,1,59,0,0.7782637884077929,Renyi,0
90,1012,0,53,3,0.7814327969478052,Renyi,0
91,1017,0,50,0,0.7826729926154107,Renyi,0
92,1022,0,44,1,0.7852026642201106,Renyi,0
93,1021,1,44,1,0.7869237194432186,Renyi,0
94,1021,1,44,1,0.7863609087956982,Renyi,0
95,1022,1,42,2,0.7863609087956982,Renyi,0
96,1016,6,40,5,0.7865546825395281,Renyi,0
97,1018,0,46,1,0.7827870691861382,Renyi,0
98,1022,2,41,0,0.7854277582222181,Renyi,0
99,1019,2,39,5,0.7867542260178785,Renyi,0
100,1016,0,42,6,0.7847002427290916,Renyi,0
101,1019,0,44,1,0.7837551229643247,Renyi,0
102,1013,2,42,7,0.7858166087321474,Renyi,0
103,1019,0,43,2,0.7820489953787574,Renyi,0
104,1016,3,42,3,0.7856320902803022,Renyi,0
105,1020,0,42,2,0.7837551229643247,Renyi,0
106,1019,2,41,2,0.7860091858422623,Renyi,0
107,1021,1,42,0,0.7852630533766118,Renyi,0
108,990,24,43,7,0.7865697075660333,Renyi,0
109,788,179,52,45,0.7684183010506248,Renyi,0
110,595,352,102,15,0.6084109534306825,Renyi,0
111,587,314,136,27,0.4715016395652642,Renyi,0
112,605,284,171,3,0.47209939311413757,Renyi,0
113,594,250,194,23,0.4917101837983305,Renyi,0
114,606,224,217,11,0.48879312673096376,Renyi,0
115,607,183,242,23,0.5026531624989329,Renyi,0
116,616,161,262,14,0.5090342196997458,Renyi,0
117,625,116,283,27,0.5199284510331298,Renyi,0
118,632,98,310,10,0.5310600975711928,Renyi,0
119,653,41,330,23,0.5415217269414554,Renyi,0
120,661,22,352,11,0.5618314815572085,Renyi,0
121,687,1,355,2,0.5722418425018027,Renyi,0
122,694,1,346,4,0.5928367025934247,Renyi,0
