,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1137,0,0,0,0.82,SmallWorld,3
1,1039,68,0,30,0.82,SmallWorld,3
2,585,490,38,24,0.7631628503456673,SmallWorld,3
3,463,583,71,20,0.4277483335335348,SmallWorld,3
4,535,479,108,14,0.3538909213017176,SmallWorld,3
5,507,483,132,14,0.40750165685761575,SmallWorld,3
6,551,411,154,19,0.393538972574279,SmallWorld,3
7,528,405,189,11,0.4266373268265599,SmallWorld,3
8,558,354,202,19,0.4183992198741535,SmallWorld,3
9,548,342,223,19,0.44053289514278576,SmallWorld,3
10,561,301,252,17,0.43799616587669177,SmallWorld,3
11,555,284,275,16,0.452148883185577,SmallWorld,3
12,567,251,299,11,0.45261293032308486,SmallWorld,3
13,574,228,307,17,0.4655391960974825,SmallWorld,3
14,579,205,322,19,0.4722821945713537,SmallWorld,3
15,579,186,343,15,0.4786541457428913,SmallWorld,3
16,582,161,365,15,0.48306436538571157,SmallWorld,3
17,596,133,376,17,0.48905096994112474,SmallWorld,3
18,605,108,394,15,0.5008164682532437,SmallWorld,3
19,627,67,409,19,0.5101826577396417,SmallWorld,3
20,658,31,419,14,0.5279654890595633,SmallWorld,3
21,686,5,423,7,0.5513143891972258,SmallWorld,3
22,714,0,407,0,0.572175520330199,SmallWorld,3
23,731,1,388,1,0.5894294053645676,SmallWorld,3
24,756,0,364,1,0.5984080898517534,SmallWorld,3
25,779,0,341,1,0.6125811990499258,SmallWorld,3
26,795,0,324,2,0.6257401048378072,SmallWorld,3
27,813,0,308,0,0.6348816057396175,SmallWorld,3
28,832,0,289,0,0.6458975537181587,SmallWorld,3
29,847,0,272,2,0.6573393489949011,SmallWorld,3
30,864,1,256,0,0.6661508838735245,SmallWorld,3
31,885,2,233,1,0.6768684613197226,SmallWorld,3
32,911,2,206,2,0.6897140600478607,SmallWorld,3
33,942,0,179,0,0.706110955420012,SmallWorld,3
34,958,0,162,1,0.7267218489847134,SmallWorld,3
35,975,2,143,1,0.7367268976053497,SmallWorld,3
36,989,2,127,3,0.7469957711702443,SmallWorld,3
37,999,0,118,4,0.7551369567871474,SmallWorld,3
38,973,25,111,12,0.7611908172734893,SmallWorld,3
39,865,108,116,30,0.7396297892876934,SmallWorld,3
40,637,332,131,19,0.6533207010145013,SmallWorld,3
41,564,377,160,17,0.4857517834218467,SmallWorld,3
42,571,360,172,14,0.44155318705839214,SmallWorld,3
43,572,337,190,17,0.44872450634095645,SmallWorld,3
44,575,321,207,12,0.45295442695123483,SmallWorld,3
45,576,299,222,17,0.4583529032452319,SmallWorld,3
46,579,282,243,10,0.4620456610165252,SmallWorld,3
47,586,249,263,16,0.46785761208196824,SmallWorld,3
48,584,237,277,15,0.4762013397400191,SmallWorld,3
49,591,203,297,21,0.4776871397415419,SmallWorld,3
50,592,196,309,13,0.48636399174788575,SmallWorld,3
51,599,168,320,23,0.48984864113163445,SmallWorld,3
52,594,161,340,13,0.4966089906141314,SmallWorld,3
53,606,121,368,13,0.4974444270783725,SmallWorld,3
54,631,90,380,7,0.5107088307789982,SmallWorld,3
55,657,47,390,13,0.5301545825949534,SmallWorld,3
56,682,23,393,8,0.550530042271167,SmallWorld,3
57,708,4,391,3,0.5692271963226467,SmallWorld,3
58,740,1,364,1,0.5876854190389897,SmallWorld,3
59,761,0,343,2,0.6064261125487472,SmallWorld,3
60,781,0,324,1,0.6184184794079319,SmallWorld,3
61,796,0,309,1,0.6302402006307802,SmallWorld,3
62,819,0,287,0,0.6391154958049261,SmallWorld,3
63,829,0,275,2,0.6531463167187185,SmallWorld,3
64,846,0,260,0,0.6588978561640626,SmallWorld,3
65,861,0,244,1,0.6697697297592461,SmallWorld,3
66,878,0,227,1,0.6789821914669266,SmallWorld,3
67,896,0,205,5,0.6897441508632566,SmallWorld,3
68,907,2,196,1,0.7005216854112171,SmallWorld,3
69,905,6,187,8,0.7079406349048933,SmallWorld,3
70,929,1,174,2,0.7046731297391756,SmallWorld,3
71,948,0,157,1,0.7220510866596512,SmallWorld,3
72,962,1,140,3,0.7344705797615546,SmallWorld,3
73,981,0,123,2,0.7426375713038998,SmallWorld,3
74,989,2,114,1,0.7544007498177211,SmallWorld,3
75,999,0,107,0,0.758821959167027,SmallWorld,3
76,1007,0,97,2,0.7649020863405254,SmallWorld,3
77,1001,13,86,6,0.7687769286470828,SmallWorld,3
