,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1117,0,0,0,0.82
1,873,188,0,56,0.82
2,537,515,57,8,0.82
3,513,486,87,30,0.82
4,535,456,118,6,0.82
5,551,388,145,29,0.82
6,559,378,168,5,0.82
7,561,329,186,32,0.82
8,566,320,217,4,0.82
9,575,259,251,22,0.82
10,579,253,269,4,0.82
11,586,200,288,29,0.82
12,592,196,306,6,0.82
13,596,146,325,32,0.82
14,617,128,348,3,0.82
15,630,78,363,24,0.82
16,641,69,382,2,0.82
17,664,19,384,27,0.82
18,692,6,394,2,0.82
19,712,0,380,2,0.82
20,734,0,360,0,0.82
21,751,0,342,1,0.82
22,767,0,326,1,0.82
23,795,0,299,0,0.82
24,809,0,280,5,0.82
25,818,1,275,0,0.82
26,836,0,257,1,0.82
27,852,0,241,1,0.82
28,867,0,225,2,0.82
29,880,0,213,1,0.82
30,893,0,200,1,0.82
31,916,0,177,1,0.82
32,938,1,154,1,0.82
33,953,0,139,2,0.82
34,972,0,122,0,0.82
35,988,0,104,2,0.82
36,996,1,96,1,0.82
37,1003,2,88,1,0.82
38,1013,1,78,2,0.82
39,1022,1,70,1,0.82
40,1006,12,65,11,0.82
41,883,110,66,35,0.82
42,603,375,93,19,0.82
43,562,385,120,23,0.82
44,592,343,146,9,0.82
45,580,328,168,13,0.82
46,587,303,187,12,0.82
47,587,271,214,17,0.82
48,593,248,235,12,0.82
49,592,220,254,18,0.82
50,592,202,278,11,0.82
51,599,169,295,17,0.82
52,600,153,315,11,0.82
53,601,119,336,23,0.82
54,623,86,356,13,0.82
55,658,31,370,18,0.82
56,674,19,376,8,0.82
57,698,2,373,4,0.82
58,716,0,361,0,0.82
59,728,0,348,1,0.82
60,747,0,330,0,0.82
61,765,1,309,2,0.82
62,776,2,295,4,0.82
63,797,0,279,1,0.82
64,811,1,263,2,0.82
65,831,1,243,2,0.82
66,847,2,228,0,0.82
67,860,0,215,2,0.82
68,873,0,203,1,0.82
69,889,1,187,0,0.82
70,905,0,170,2,0.82
71,921,0,153,3,0.82
72,937,0,140,0,0.82
73,960,0,117,0,0.82
74,972,0,103,2,0.82
75,945,21,90,21,0.82
76,838,109,104,26,0.82
77,616,302,131,26,0.82
78,578,325,158,12,0.82
79,596,282,174,20,0.82
80,589,270,199,12,0.82
81,601,234,220,14,0.82
82,607,215,233,14,0.82
83,606,198,243,20,0.82
84,607,187,256,16,0.82
85,607,166,274,17,0.82
86,607,150,291,15,0.82
87,614,117,319,13,0.82
88,635,89,322,15,0.82
89,654,53,339,15,0.82
90,681,25,344,10,0.82
91,696,3,352,9,0.82
92,713,0,347,0,0.82
93,732,0,327,1,0.82
94,749,2,308,1,0.82
95,768,1,290,0,0.82
96,788,4,266,1,0.82
97,775,11,259,14,0.82
98,779,7,265,8,0.82
99,794,3,259,3,0.82
100,814,1,242,2,0.82
101,833,2,224,0,0.82
102,853,0,205,1,0.82
103,868,1,185,5,0.82
104,881,5,170,3,0.82
105,896,2,158,3,0.82
106,915,1,142,1,0.82
107,924,2,131,2,0.82
108,942,0,116,1,0.82
109,954,1,102,2,0.82
110,956,1,99,3,0.82
111,969,0,90,0,0.82
112,975,1,79,4,0.82
113,981,1,77,0,0.82
114,988,0,69,2,0.82
115,996,0,62,1,0.82
116,1002,0,55,2,0.82
117,1005,0,51,3,0.82
118,1008,1,49,1,0.82
119,1014,0,44,1,0.82
120,1018,0,40,1,0.82
121,1018,0,40,1,0.82
122,1018,1,40,0,0.82
123,1018,0,40,1,0.82
124,1021,1,37,0,0.82
125,1021,1,36,1,0.82
126,1023,0,34,2,0.82
127,1023,2,33,1,0.82
128,1027,0,32,0,0.82
129,1029,0,29,1,0.82
130,1027,0,27,5,0.82
131,1027,0,31,1,0.82
132,1026,0,31,2,0.82
133,1027,0,32,0,0.82
134,1030,0,28,1,0.82
135,998,29,23,9,0.82
136,740,244,34,41,0.82
137,566,397,81,14,0.82
138,576,350,106,25,0.82
139,575,332,137,13,0.82
140,591,282,162,21,0.82
141,583,270,189,13,0.82
142,596,225,211,22,0.82
143,594,214,228,16,0.82
144,601,172,257,22,0.82
145,600,161,281,9,0.82
146,610,121,290,28,0.82
147,621,107,304,16,0.82
148,642,53,329,23,0.82
149,667,29,343,7,0.82
150,695,1,345,5,0.82
151,704,0,337,4,0.82
152,719,0,324,2,0.82
153,731,0,313,1,0.82
154,745,1,297,2,0.82
155,756,1,287,1,0.82
156,779,0,266,0,0.82
157,791,0,251,3,0.82
158,811,0,232,2,0.82
159,819,0,225,1,0.82
160,838,0,207,0,0.82
161,856,0,186,3,0.82
162,872,1,171,1,0.82
163,882,1,161,1,0.82
164,899,0,141,3,0.82
165,906,0,136,1,0.82
166,924,0,118,1,0.82
167,939,0,103,1,0.82
168,957,0,84,2,0.82
169,972,0,71,0,0.82
170,981,0,62,0,0.82
171,992,0,50,1,0.82
172,998,0,45,0,0.82
173,1004,0,38,1,0.82
174,1009,0,32,2,0.82
175,1010,0,31,1,0.82
176,1013,0,29,0,0.82
177,1017,0,25,0,0.82
178,1021,0,21,0,0.82
179,1024,0,17,1,0.82
180,1023,1,17,1,0.82
181,1024,0,18,0,0.82
182,1024,1,17,0,0.82
183,1023,0,18,1,0.82
184,1023,0,18,1,0.82
185,1023,1,18,0,0.82
186,1025,0,16,1,0.82
187,1025,0,14,3,0.82
188,1024,0,16,2,0.82
189,1023,0,18,1,0.82
190,1024,0,18,0,0.82
191,1023,1,18,0,0.82
192,1024,0,18,0,0.82
193,1026,1,15,0,0.82
194,1025,1,13,3,0.82
195,1024,0,16,2,0.82
196,1023,0,18,1,0.82
197,1025,0,17,0,0.82
198,1023,0,17,2,0.82
199,1024,0,17,1,0.82
200,1023,0,17,2,0.82
201,1013,6,18,5,0.82
