,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1120,0,0,0,0.82
1,899,166,0,55,0.82
2,601,438,59,21,0.82
3,603,383,101,30,0.82
4,605,359,137,13,0.82
5,605,308,169,31,0.82
6,608,286,201,18,0.82
7,612,233,242,25,0.82
8,614,217,269,12,0.82
9,615,170,288,36,0.82
10,626,143,323,14,0.82
11,652,76,352,24,0.82
12,697,26,372,7,0.82
13,716,0,386,0,0.82
14,723,0,378,1,0.82
15,731,0,371,0,0.82
16,746,0,354,2,0.82
17,762,0,339,1,0.82
18,781,0,321,0,0.82
19,800,0,302,0,0.82
20,823,0,277,2,0.82
21,837,1,260,3,0.82
22,854,0,245,2,0.82
23,873,0,228,0,0.82
24,889,0,211,1,0.82
25,905,1,194,1,0.82
26,914,0,184,3,0.82
27,927,0,173,1,0.82
28,951,0,149,1,0.82
29,965,0,135,1,0.82
30,967,7,121,6,0.82
31,849,92,118,42,0.82
32,645,276,153,27,0.82
33,619,274,184,21,0.82
34,616,257,208,15,0.82
35,615,225,228,26,0.82
36,623,200,248,22,0.82
37,629,167,270,24,0.82
38,623,150,296,19,0.82
39,649,98,316,23,0.82
40,683,44,344,12,0.82
41,711,8,358,6,0.82
42,730,0,352,1,0.82
43,743,0,339,1,0.82
44,762,0,319,2,0.82
45,781,0,299,2,0.82
46,794,0,288,0,0.82
47,816,0,266,0,0.82
48,825,0,254,3,0.82
49,836,0,245,1,0.82
50,854,0,226,1,0.82
51,866,0,214,1,0.82
