,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1162,0,0,0,0.82
1,739,360,0,63,0.82
2,679,418,62,1,0.5168259153076006
3,680,357,90,33,0.48675992548160113
4,681,356,123,0,0.4923832303695563
5,692,286,149,32,0.49888900850027956
6,692,289,176,0,0.5113596556034692
7,697,226,201,32,0.5167954571286094
8,697,232,224,2,0.5249969513716888
9,702,168,254,31,0.5293937939832037
10,708,166,278,1,0.5381525115368704
11,707,112,301,33,0.54724779138237
12,713,116,321,1,0.5506081544940842
13,709,67,341,32,0.559020896351235
14,718,71,357,2,0.5604436011445885
15,716,38,362,32,0.5699305342643819
16,706,52,383,6,0.569405808279146
17,710,23,392,21,0.5664481827357417
18,706,28,401,11,0.5711842174287536
19,705,10,412,18,0.5699702792857244
20,703,13,416,13,0.5715580589759138
21,705,9,417,13,0.5708654032064218
22,701,11,416,16,0.5727871157292354
23,708,7,418,9,0.5698140221286219
24,709,6,410,17,0.5757631780151063
25,719,6,404,12,0.5750541586273538
26,713,12,398,18,0.581397057483966
27,716,3,399,23,0.5761024257352317
28,714,16,400,10,0.5783949324860663
29,702,21,397,19,0.5775127142469265
30,709,15,400,15,0.568895374490714
31,708,14,399,17,0.5743410334037968
32,719,10,387,20,0.5738117735070669
33,734,15,376,11,0.580175932842216
34,719,18,368,31,0.5889296103292543
35,726,23,372,15,0.5768239534962607
36,722,25,367,21,0.5825075446919209
37,714,26,374,20,0.579136505776814
38,723,14,375,21,0.5750501329600413
39,710,24,379,17,0.5819782847951911
40,711,13,384,22,0.5745208730633115
41,711,15,390,13,0.5761114145904161
42,717,14,381,16,0.5775259808799565
43,724,19,371,14,0.5805601180929875
44,719,24,368,17,0.5837929297575727
45,721,13,371,22,0.5796920875752657
46,714,16,377,19,0.582010077976126
47,715,12,383,15,0.5784367257085579
48,716,15,379,14,0.5805669250705784
49,716,13,377,18,0.5809347461949164
50,722,12,372,16,0.5805819062637632
51,728,18,361,12,0.5847178914349315
52,725,18,360,16,0.5881937395603309
53,732,15,362,10,0.5858547362710629
54,710,20,364,25,0.5912602896948314
55,715,16,371,17,0.5758108483325807
56,712,15,371,19,0.580617370377194
57,720,10,370,17,0.5791964539899385
58,725,15,362,14,0.5847549370898638
59,727,9,359,20,0.5873116397324479
60,718,14,363,20,0.5885964178695822
61,713,10,373,19,0.5828143174685214
62,708,14,377,14,0.5809907118783076
63,717,10,372,14,0.5788436140587853
64,719,16,363,15,0.5844153850217069
65,728,10,351,23,0.5842669565808735
66,724,15,357,15,0.5890224411962621
67,725,17,356,13,0.5875554704177229
68,715,17,350,26,0.5881027842660279
69,712,17,362,15,0.5809296831610004
70,717,12,360,17,0.5816206570972247
71,713,16,359,17,0.5848745067620144
72,713,10,361,18,0.5821798037915943
73,715,13,360,14,0.5836395670029781
74,702,7,368,25,0.5849091709340741
75,713,5,373,11,0.5769554129495615
76,713,7,362,19,0.5857566065898973
77,716,7,357,21,0.5841859187301675
78,712,8,363,17,0.5854750214375872
79,715,9,360,16,0.5840094987645909
80,719,10,355,15,0.5856514414031638
81,716,11,353,19,0.5880448626787632
82,714,13,351,20,0.585513547206567
83,721,8,352,16,0.5840826821601175
84,720,12,350,15,0.5897214098578052
85,715,21,347,13,0.588639960808642
86,708,12,347,27,0.584848336914199
87,712,19,353,9,0.5805167257462343
88,712,11,348,20,0.584848336914199
89,714,9,356,11,0.5847143388634584
90,712,9,353,15,0.5879572102020392
91,724,8,340,16,0.5863465012561463
92,721,13,335,18,0.5932108858755537
93,722,11,332,22,0.5905072608945274
94,713,17,341,15,0.5907120915492455
95,712,20,338,15,0.5860883423183187
96,705,23,344,13,0.5852062424904358
97,709,14,345,16,0.5811644840212761
98,724,9,339,12,0.584628653425534
99,707,13,340,22,0.5945665444388207
100,717,7,341,17,0.5830408737353447
101,723,10,333,15,0.590535671583669
102,719,12,333,17,0.593924272285807
103,718,10,333,19,0.5909767719939818
104,707,14,333,24,0.5906239320628287
105,710,11,339,15,0.5833159374788965
106,712,9,338,15,0.5877129521344436
107,728,8,324,14,0.5893889923037925
108,716,16,316,23,0.5987583175994208
109,714,11,327,19,0.5896127146443979
110,701,8,336,24,0.5900755020365289
111,709,8,340,12,0.5828658895959363
112,707,8,338,16,0.5894503654370995
113,705,6,337,20,0.5876247926480266
114,721,5,330,12,0.5863599270722842
115,712,5,327,24,0.596955981709751
116,704,17,331,15,0.5897556423261621
117,705,12,336,14,0.5849485673476715
118,713,8,329,16,0.5865662728545671
119,709,11,329,16,0.591621858300755
120,704,9,336,16,0.5890499624638557
121,716,9,332,8,0.5865967055396064
122,716,6,326,17,0.594764225849901
123,718,8,327,11,0.5937057060564414
124,706,9,326,22,0.5957591781846188
125,710,11,332,9,0.5870763626217269
126,706,14,328,14,0.5914804716924094
127,712,14,318,18,0.5878150227048194
128,712,13,325,12,0.5904935652050045
129,712,13,320,15,0.5917285049640407
130,711,12,318,18,0.5916257654762489
131,718,14,314,12,0.5909200856139425
132,717,10,314,17,0.5958225115433419
133,708,17,316,17,0.5950755676899349
134,712,6,321,19,0.5887293655492386
135,707,11,324,15,0.59258361880424
136,707,15,322,13,0.5897878853426982
137,695,20,329,13,0.589435045411545
138,708,10,329,8,0.5818029337839992
139,715,9,315,15,0.592192642639183
140,705,10,319,20,0.5953350390937004
141,711,8,325,10,0.5885895270547201
142,710,11,319,14,0.594112507877143
143,704,13,322,15,0.5923086109966577
144,711,8,318,15,0.5883765256180855
145,715,15,313,9,0.5936642079653222
146,713,13,307,18,0.5957730265446638
147,712,12,315,11,0.5936131509102464
148,716,9,311,13,0.594671670703706
149,711,12,311,14,0.5973609865104973
150,721,5,305,17,0.5940088268888978
151,713,14,304,16,0.6004644241171128
152,706,14,307,20,0.5946697475803029
153,697,16,320,14,0.5899593886882136
154,698,8,328,13,0.58555380616886
155,705,6,325,9,0.5877074272268372
156,704,11,322,8,0.5931762120596928
157,709,8,313,15,0.5919000083095561
158,707,9,314,15,0.5940521880418242
159,708,7,316,14,0.5927310510823635
160,714,9,305,17,0.5938324069233212
161,716,9,304,15,0.5963939270944926
162,715,14,300,14,0.5981228570889706
163,718,9,294,21,0.597064337295511
164,721,13,295,12,0.5986713033318202
165,705,15,301,19,0.6015216883323213
166,701,10,311,17,0.590920515429864
167,702,12,315,10,0.5900847515987145
168,702,5,316,16,0.5915389473708256
169,695,12,316,16,0.5917153673364021
170,700,3,320,16,0.5864867521326301
171,710,6,313,9,0.5909245399542857
172,710,1,306,21,0.5975935971922409
173,701,13,310,14,0.5963586574332047
174,705,6,312,15,0.5903040076117894
175,699,9,314,15,0.5936561672333889
176,702,9,312,14,0.5899083316331379
177,699,10,310,18,0.5918026152577469
178,704,7,308,16,0.5892026517708315
179,708,7,308,12,0.5933947876796904
180,702,10,309,13,0.596406764908851
181,705,9,301,18,0.5924666939408161
182,702,9,311,10,0.5937123579495559
183,708,7,305,12,0.5936177294028049
184,709,4,299,17,0.5970835236416308
185,709,10,294,16,0.5979932890207894
186,706,11,295,15,0.5971111891929065
187,714,9,289,14,0.59582443244748
188,717,11,283,15,0.6012496504051993
189,708,13,285,20,0.6024795403937763
