,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1147,0,0,0,0.82
1,702,379,0,66,0.82
2,653,425,65,2,0.82
3,647,365,98,34,0.82
4,653,359,129,2,0.82
5,653,299,156,33,0.82
6,662,289,187,2,0.82
7,666,224,224,25,0.82
8,672,224,241,1,0.82
9,666,170,268,34,0.82
10,680,167,286,3,0.82
11,675,114,307,40,0.82
12,674,120,340,0,0.82
13,679,66,354,35,0.82
14,678,81,373,0,0.82
15,673,35,381,42,0.82
16,685,43,399,2,0.82
17,669,14,414,32,0.82
18,670,21,430,8,0.82
19,672,13,428,16,0.82
20,676,13,425,15,0.82
21,677,13,423,16,0.82
22,677,9,422,20,0.82
23,686,12,415,13,0.82
24,674,12,414,26,0.82
25,683,12,413,17,0.82
26,680,15,410,19,0.82
27,683,19,405,16,0.82
28,684,15,396,26,0.82
29,675,26,404,14,0.82
30,679,11,405,24,0.82
31,688,11,402,18,0.82
32,694,12,392,21,0.82
33,695,17,391,16,0.82
34,685,16,394,24,0.82
35,686,24,391,17,0.82
36,672,20,407,19,0.82
37,680,15,406,16,0.82
38,678,16,398,23,0.82
39,672,17,409,17,0.82
40,680,9,407,18,0.82
41,681,14,400,17,0.82
42,682,15,391,20,0.82
43,688,20,382,18,0.82
44,686,21,375,25,0.82
45,692,18,379,18,0.82
46,684,24,371,26,0.82
47,686,16,383,19,0.82
48,681,16,388,19,0.82
49,684,11,387,22,0.82
50,680,14,391,19,0.82
51,691,7,390,15,0.82
52,679,12,391,21,0.82
53,679,10,392,22,0.82
54,681,7,397,18,0.82
55,678,12,391,22,0.82
56,679,13,396,15,0.82
57,677,18,395,12,0.82
58,685,13,390,14,0.82
59,687,14,384,17,0.82
60,689,19,377,15,0.82
61,689,15,372,22,0.82
62,687,22,369,19,0.82
63,679,19,376,23,0.82
64,672,21,382,22,0.82
65,678,17,382,19,0.82
66,691,14,372,19,0.82
67,683,21,363,27,0.82
68,685,19,376,14,0.82
69,695,13,362,21,0.82
70,678,22,369,22,0.82
71,664,27,379,21,0.82
72,669,16,394,11,0.82
73,674,8,390,18,0.82
74,679,11,385,14,0.82
75,682,6,376,24,0.82
76,673,14,380,19,0.82
77,676,7,384,17,0.82
78,677,6,382,18,0.82
79,680,6,379,18,0.82
80,678,5,380,20,0.82
81,677,15,373,17,0.82
82,679,13,370,18,0.82
83,689,11,362,18,0.82
84,679,20,363,18,0.82
85,669,21,371,19,0.82
86,670,17,377,15,0.82
87,670,14,378,14,0.82
88,667,10,383,16,0.82
89,671,11,379,15,0.82
90,679,6,374,16,0.82
91,669,17,371,15,0.82
92,676,14,366,14,0.82
93,678,9,362,21,0.82
94,676,14,360,20,0.82
95,689,10,355,13,0.82
96,681,18,341,26,0.82
97,672,9,359,24,0.82
98,672,13,368,10,0.82
99,680,7,364,12,0.82
100,683,10,346,24,0.82
101,673,16,353,20,0.82
102,676,10,357,19,0.82
103,678,10,359,14,0.82
104,675,13,354,18,0.82
105,676,11,351,22,0.82
106,684,8,350,16,0.82
107,692,8,340,17,0.82
108,675,14,342,25,0.82
109,672,12,354,17,0.82
110,680,10,347,18,0.82
111,679,11,347,18,0.82
112,666,14,354,20,0.82
113,667,6,364,16,0.82
114,669,6,361,15,0.82
115,660,7,363,20,0.82
116,658,9,373,10,0.82
117,665,7,364,13,0.82
118,668,10,360,10,0.82
119,685,3,337,22,0.82
120,671,12,340,23,0.82
121,674,7,344,20,0.82
122,664,12,350,17,0.82
123,658,10,357,15,0.82
124,668,9,347,16,0.82
125,671,12,337,18,0.82
126,670,6,338,21,0.82
127,673,9,337,15,0.82
128,670,9,332,22,0.82
129,679,9,330,14,0.82
130,668,8,332,24,0.82
131,679,6,331,16,0.82
132,659,13,335,24,0.82
133,670,6,344,8,0.82
134,670,9,328,21,0.82
135,672,11,326,19,0.82
136,668,14,329,16,0.82
137,664,12,332,18,0.82
138,673,13,325,15,0.82
139,677,12,318,19,0.82
140,672,15,321,18,0.82
141,672,14,330,10,0.82
142,675,9,330,12,0.82
143,672,11,322,21,0.82
144,674,10,328,14,0.82
145,672,6,327,21,0.82
146,673,8,329,14,0.82
147,681,8,320,15,0.82
148,675,9,317,23,0.82
149,675,9,325,15,0.82
150,670,9,327,17,0.82
151,681,5,324,13,0.82
152,675,13,315,20,0.82
153,674,7,320,20,0.82
154,676,6,319,18,0.82
155,678,7,320,13,0.82
156,670,6,321,21,0.82
157,666,11,324,16,0.82
158,668,10,324,14,0.82
159,676,5,320,15,0.82
160,672,10,319,15,0.82
161,674,13,312,17,0.82
162,669,6,319,22,0.82
163,673,7,325,11,0.82
164,673,6,318,19,0.82
165,673,12,313,18,0.82
166,692,7,301,16,0.82
167,670,18,298,29,0.82
168,679,10,310,15,0.82
169,665,13,316,18,0.82
170,662,10,329,11,0.82
171,665,7,328,11,0.82
172,664,7,326,14,0.82
173,667,4,328,12,0.82
174,677,7,313,14,0.82
175,669,8,313,21,0.82
176,668,7,320,15,0.82
177,673,4,319,14,0.82
178,680,7,307,15,0.82
179,682,12,300,14,0.82
180,676,9,300,22,0.82
181,675,12,299,18,0.82
182,675,11,302,16,0.82
183,670,11,308,13,0.82
184,670,9,308,15,0.82
185,661,9,313,17,0.82
186,658,7,321,13,0.82
187,664,2,321,12,0.82
188,671,5,308,15,0.82
189,674,8,300,17,0.82
190,677,9,298,15,0.82
191,677,9,294,18,0.82
192,663,12,305,18,0.82
193,674,3,299,20,0.82
194,662,15,304,14,0.82
195,661,6,311,17,0.82
196,659,5,318,13,0.82
197,660,3,317,14,0.82
198,667,8,309,10,0.82
199,662,7,308,17,0.82
200,666,7,309,11,0.82
201,664,4,305,19,0.82
202,664,10,304,14,0.82
