,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1133,0,0,0,0.82
1,949,144,0,40,0.82
2,613,446,44,25,0.82
3,554,466,84,24,0.82
4,588,403,120,16,0.82
5,582,373,155,17,0.82
6,596,334,178,19,0.82
7,599,298,204,25,0.82
8,606,264,239,15,0.82
9,604,235,262,22,0.82
10,620,196,283,24,0.82
11,623,164,314,22,0.82
12,635,131,337,17,0.82
13,651,89,356,23,0.82
14,677,47,380,14,0.82
15,701,16,395,6,0.82
16,726,0,389,3,0.82
17,748,0,370,0,0.82
18,764,0,353,1,0.82
19,781,0,336,1,0.82
20,795,0,322,1,0.82
21,808,1,309,0,0.82
22,820,3,292,3,0.82
23,838,0,279,1,0.82
24,847,0,271,0,0.82
25,871,0,247,0,0.82
26,888,0,228,2,0.82
27,910,0,208,0,0.82
28,926,0,190,2,0.82
29,942,0,175,1,0.82
30,965,2,151,0,0.82
31,983,1,129,5,0.82
32,1003,0,114,1,0.82
33,1008,0,99,11,0.82
34,1018,0,98,2,0.82
35,1029,0,89,0,0.82
36,1040,0,78,0,0.82
37,1050,1,66,1,0.82
38,1027,17,60,14,0.82
39,880,127,68,43,0.82
40,633,358,109,17,0.82
41,598,359,137,21,0.82
42,615,327,158,14,0.82
43,614,292,192,15,0.82
44,610,273,214,16,0.82
45,617,225,242,27,0.82
46,616,204,278,12,0.82
47,629,153,306,22,0.82
48,640,127,330,11,0.82
49,666,64,357,19,0.82
50,701,21,374,7,0.82
51,729,1,372,1,0.82
52,745,1,357,0,0.82
53,759,0,344,0,0.82
54,776,0,327,0,0.82
55,795,0,307,1,0.82
56,810,0,293,0,0.82
57,824,0,279,0,0.82
58,834,0,266,3,0.82
59,846,0,254,3,0.82
60,867,0,234,1,0.82
61,887,1,214,0,0.82
62,899,0,199,4,0.82
63,917,1,182,2,0.82
64,930,1,170,1,0.82
65,945,0,156,1,0.82
66,965,0,136,1,0.82
67,970,1,126,5,0.82
68,981,0,121,0,0.82
69,1002,0,100,0,0.82
70,1009,8,83,2,0.82
71,1007,5,74,16,0.82
72,996,14,86,6,0.82
73,996,2,94,8,0.82
74,1006,0,93,1,0.82
75,1018,0,82,0,0.82
76,1017,2,77,4,0.82
77,1021,5,70,4,0.82
78,990,22,70,18,0.82
79,1001,0,91,7,0.82
80,1009,0,88,1,0.82
81,1010,0,86,2,0.82
82,1011,1,86,0,0.82
83,1016,0,80,2,0.82
84,1018,0,79,1,0.82
85,1023,0,75,0,0.82
86,1022,4,70,2,0.82
87,991,16,70,21,0.82
88,899,77,87,35,0.82
89,673,268,127,27,0.82
90,596,319,160,17,0.82
91,616,266,191,19,0.82
92,610,244,216,19,0.82
93,627,201,245,14,0.82
94,629,181,262,15,0.82
95,622,161,283,20,0.82
96,632,127,304,22,0.82
97,648,82,333,22,0.82
98,683,27,357,15,0.82
99,708,7,364,1,0.82
100,725,1,350,4,0.82
101,744,1,334,1,0.82
